XDR_FIELD_NAME,XDR_DR_TYPE,XDR_FIELD_TYPE,XDR_FIELD_INDEX
CHARGE1,dr_ip,4,24
CHARGE1,dr_ismg,4,26
CHARGE1,dr_kj,4,23
CHARGE1,dr_mms,4,25
CHARGE1,dr_pbx,4,36
CHARGE1,dr_sms,4,24
CHARGE1,dr_wap,4,25
CHARGE1,dr_wlan,4,25
CHARGE1_DISC,dr_addvalue,4,38
CHARGE1_DISC,dr_cbs,4,40
CHARGE1_DISC,dr_ext,4,24
CHARGE1_DISC,dr_ggprs,4,30
CHARGE1_DISC,dr_gprs,4,28
CHARGE1_DISC,dr_gsm,4,37
CHARGE1_DISC,dr_ip,4,25
CHARGE1_DISC,dr_ismg,4,27
CHARGE1_DISC,dr_kj,4,24
CHARGE1_DISC,dr_mms,4,26
CHARGE1_DISC,dr_pbx,4,37
CHARGE1_DISC,dr_sms,4,25
CHARGE1_DISC,dr_wap,4,26
CHARGE1_DISC,dr_wlan,4,26
CHARGE2,dr_addvalue,4,40
CHARGE2,dr_cbs,4,42
CHARGE2,dr_ext,4,26
CHARGE2,dr_ggprs,4,32
CHARGE2,dr_gprs,4,30
CHARGE2,dr_gsm,4,39
CHARGE2,dr_ip,4,27
CHARGE2,dr_ismg,4,29
CHARGE2,dr_kj,4,26
CHARGE2,dr_mms,4,28
CHARGE2,dr_pbx,4,39
CHARGE2,dr_sms,4,27
CHARGE2,dr_wap,4,28
CHARGE2,dr_wlan,4,28
CHARGE2_DISC,dr_addvalue,4,41
CHARGE2_DISC,dr_cbs,4,43
CHARGE2_DISC,dr_ext,4,27
CHARGE2_DISC,dr_ggprs,4,33
CHARGE2_DISC,dr_gprs,4,31
CHARGE2_DISC,dr_gsm,4,40
CHARGE2_DISC,dr_ip,4,28
CHARGE2_DISC,dr_ismg,4,30
CHARGE2_DISC,dr_kj,4,27
CHARGE2_DISC,dr_mms,4,29
CHARGE2_DISC,dr_pbx,4,40
CHARGE2_DISC,dr_sms,4,28
CHARGE2_DISC,dr_wap,4,29
CHARGE2_DISC,dr_wlan,4,29
CHARGE3,dr_addvalue,4,43
CHARGE3,dr_cbs,4,45
CHARGE3,dr_ext,4,29
CHARGE3,dr_ggprs,4,35
CHARGE3,dr_gprs,4,33
CHARGE3,dr_gsm,4,42
CHARGE3,dr_ip,4,30
CHARGE3,dr_ismg,4,32
CHARGE3,dr_kj,4,29
CHARGE3,dr_mms,4,31
CHARGE3,dr_pbx,4,42
CHARGE3,dr_sms,4,30
CHARGE3,dr_wap,4,31
CHARGE3,dr_wlan,4,31
CHARGE3_DISC,dr_addvalue,4,44
CHARGE3_DISC,dr_cbs,4,46
